END,EOL,,ROUTER,,,TYPE,,,SPECS,,,,,,DIMENSIONS (INCHES),,,PORTS / CHANNELS / SLOTS,,,,,,,,,,,,,,PERFORMANCE,,MEMORY MB,,,,THROUGHPUT - MBPS,,MAXIMUM STREAMS / CHANNELS,,,,,,,,FEATURES,,,,,,,,,,
SKU,EOL,YEAR,MAKE,SERIES,MODEL,A,B,C,IOS,BASE,USERS,SLOTS,RU,POE(W),HEIGHT,WIDTH,DEPTH,LAN,TP,WAN,TP,LAN/WAN,RJ-45,SFP,PVDM,VPN,USB,BRI VOICE,FXS,FXO,DSP,KPPS,MPPS,RAM MIN,RAM MAX,FLASH MIN,FLASH MAX,MIN,MAX,SRST,CUCM,CCME,CUBE,CUE,TCP,IPSEC,T1/E1,SECURITY,VOICE,QoS,3G/4G,GPS,RPS,EXTERNAL,WIRELESS,PRICE,NOTES,DATASHEET
ISR4331/K9,OK,2016,Cisco,4000,4331,Branch,ISR,ISR,,,,,1,250,,,,,10/100/1000,2,,3,2,2,1,,1,,,,,,,4000,16000,4000,16000,150,150,100,100,,400,,,,360,YES,YES,YES,,,NO,,,"$3,642",CE,http://www.cisco.com/c/en/us/products/collateral/routers/4000-series-integrated-services-routers-isr/datasheet-c78-732542.html
CISCO2801,EOL,2011,Cisco,2800,2801,Branch,ISR,Router,,,,,,120,,,,2,10/100,2,,,,,?,,1,,,,2,,,128,384,64,128,,,,,,,,,,,YES,,,,,,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/product_data_sheet0900aecd8016fa68.html
CISCO2811,EOL,2011,Cisco,2800,2811,Branch,ISR,Router,,,,,,160,,,,2,10/100,4,,,,,?,,2,,,,2,,,256,768,64,,,,,,,,,,,,YES,,,,,YES,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/product_data_sheet0900aecd8016fa68.html
CISCO2821,EOL,2011,Cisco,2800,2821,Branch,ISR,Router,,,,,,240,,,,2,10/100/1000,4,,,,,?,,,,,,3,,,256,1000,256,,,,,,,,,,,,YES,,,,,,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/product_data_sheet0900aecd8016fa68.html
CISCO2851,EOL,2011,Cisco,2800,2851,Branch,ISR,Router,,,,,,360,,,,2,10/100/1000,4,,,,,?,,,,,,3,,,,,,,,,,,,,,,,,YES,,,,,,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/product_data_sheet0900aecd8016fa68.html
CISCO2921/K9,OK,2016,Cisco,2900,2921,Branch,ISR,ISR,15.0(1)M,IP Base,,,2,280,,,,2,10/100/1000,4,10/100/1000,,2,1,,,2,,,,3,,,512,2000,256,8000,50,60,100,,100,400,,,,,YES,YES,YES,,,,,YES,"$3,695",CE,http://www.cisco.com/c/en/us/products/routers/2921-integrated-services-router-isr/index.html
CISCO2951/K9,OK,2016,Cisco,2900,2951,Branch,ISR,ISR,15.0(1)M,IP Base,,,2,370,,,,3,10/100/1000,4,10/100/1000,,2,1,,,2,,,,3,,,512,2000,256,8000,75,120,250,,150,600,,,,,YES,YES,YES,,,YES,,YES,"$7,500",CE,http://www.cisco.com/c/en/us/products/routers/2951-integrated-services-router-isr/index.html
ISR4351/K9,OK,2016,Cisco,4000,4351,Branch,ISR,ISR,,,,,1,500,,,,,,3,,3,3,3,1,,2,,,,,,,4000,16000,4000,16000,200,400,750,250,,1000,,,,720,YES,YES,YES,,,NO,,,"$8,829",,http://www.cisco.com/c/en/us/products/collateral/routers/4000-series-integrated-services-routers-isr/datasheet-c78-732542.html?cachemode=refresh
CISCO1905/K9-RF,EOL,2016,Cisco,1900,1905,Branch,ISR,Router,,IP Base,,,,80,,,,2,,1,,,2,,?,,,,,,,,,256,512,256,256,10,10,,,,,,,,,YES,,,,,NO,,,RF,Wireless Router,http://www.cisco.com/c/dam/en/us/products/routers/1905-serial-integrated-services-router-isr/data_sheet_c78-598372.pdf
CISCO1801/K9,EOL,2016,Cisco,1800,1801,Branch,ISR,Router,,IP Base,,,,,,,,8,,1,10/100,,,,?,,,,,,,,,256,384,64,128,100,100,,,,,,,,,YES,,,,,NO,,YES,RF,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/1801-integrated-services-router-isr/product_data_sheet0900aecd8028a95f.html
CISCO1802/K9,EOL,2016,Cisco,1800,1802,Branch,ISR,Router,,IP Base,,,,,,,,8,,1,10/100,,,,?,,,,,,,,,256,384,64,128,100,100,,,,,,,,,YES,,,,,NO,,YES,RF,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/1801-integrated-services-router-isr/product_data_sheet0900aecd8028a95f.html
CISCO1803/K9,EOL,2016,Cisco,1800,1803,Branch,ISR,Router,,IP Base,,,,,,,,8,,1,10/100,,,,?,,,,,,,,,256,384,64,128,100,100,,,,,,,,,YES,,,,,NO,,YES,RF,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/1801-integrated-services-router-isr/product_data_sheet0900aecd8028a95f.html
CISCO1805/K9,EOL,2016,Cisco,1800,1805,Branch,ISR,Router,,IP Base,,,,,,,,4,,2,10/100,,,,?,,2,,,,,,,256,384,64,128,100,100,,,,,,,,,YES,,,,,NO,,,RF,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/1801-integrated-services-router-isr/product_data_sheet0900aecd8028a95f.html
CISCO1811/K9,EOL,2016,Cisco,1800,1811,Branch,ISR,Router,,IP Base,,,,,,,,8,,2,10/100,,,,?,,2,,,,,,,256,384,64,128,100,100,,,,,,,,,YES,,,,,NO,,YES,RF,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/1801-integrated-services-router-isr/product_data_sheet0900aecd8028a95f.html
