END,EOL,,ROUTER,,,TYPE,,,SPECS,,,,,,DIMENSIONS (INCHES),,,PORTS / CHANNELS / SLOTS,,,,,,,,,,,,,,PERFORMANCE,,MEMORY MB,,,,THROUGHPUT - MBPS,,MAXIMUM STREAMS / CHANNELS,,,,,,,,FEATURES,,,,,,,,,,
SKU,EOL,YEAR,MAKE,SERIES,MODEL,A,B,C,IOS,BASE,USERS,SLOTS,RU,POE(W),HEIGHT,WIDTH,DEPTH,LAN,TP,WAN,TP,LAN/WAN,RJ-45,SFP,PVDM,VPN,USB,BRI VOICE,FXS,FXO,DSP,KPPS,MPPS,RAM MIN,RAM MAX,FLASH MIN,FLASH MAX,MIN,MAX,SRST,CUCM,CCME,CUBE,CUE,TCP,IPSEC,T1/E1,SECURITY,VOICE,QoS,3G/4G,GPS,RPS,EXTERNAL,WIRELESS,PRICE,NOTES,DATASHEET
WS-C6504-E,OK,2016,Catalyst,6500-E,6504-E,Datacentre,Switch,Switch,,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,320000,320000,,,,,,,,,,,,,,,,,"$36,136",,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-708665.html
WS-C6506-E,OK,2016,Catalyst,6500-E,6506-E,Datacentre,Switch,Switch,,,,,11,,,,,,,,,6,,,,,,,,,,,,,,,,480000,480000,,,,,,,,,,,,,,,,,"$41,639",,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-708665.html
WS-C6509-E,OK,2016,Catalyst,6500-E,6509-E,Datacentre,Switch,Switch,,,,,14,,,,,,,,,9,,,,,,,,,,,,,,,,720000,720000,,,,,,,,,,,,,,,,,"$46,744",,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-708665.html
WS-C6509-V-E,OK,2016,Catalyst,6500-E,6509-V-E,Datacentre,Switch,Switch,,,,,21,,,,,,,,,9,,,,,,,,,,,,,,,,720000,720000,,,,,,,,,,,,,,,,,"$48,744",,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-708665.html
WS-C6513-E,OK,2016,Catalyst,6500-E,6513-E,Datacentre,Switch,Switch,,,,,19,,,,,,,,,13,,,,,,,,,,,,,,,,1040000,1040000,,,,,,,,,,,,,,,,,"$56,730",,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-708665.html
N77-C7718,OK,2016,Nexus,7700,18-Slot,Datacentre,Switch,Switch,,,,18,,,,,,,,,10/100/1000/10GB,768,,,,,,,,,,,,,,,,,83000000,,,,,,,,,,,,,,,,,"$190,805",,http://www.cisco.com/c/en/us/products/switches/nexus-7700-18-slot-switch/index.html
N77-C7710,OK,2016,Nexus,7700,10-Slot,Datacentre,Switch,Switch,,,,10,14,,,,,,,,10/100/1000/10GB,384,,,,,,,,,,,,,,,,,42000000,,,,,,,,,,,,,,,,,"$139,771",,http://www.cisco.com/c/en/us/products/switches/nexus-7700-10-slot-switch/index.html
N77-C7706,OK,2016,Nexus,7700,6-Slot,Datacentre,Switch,Switch,,,,6,9,,,,,,,,10/40/100GB,192,,,,,,,,,,,,,,,,,21000000,,,,,,,,,,,,,,,,,"$102,328",,http://www.cisco.com/c/en/us/products/switches/nexus-7700-6-slot-switch/index.html
N77-C7702,OK,2016,Nexus,7700,2-Slot,Datacentre,Switch,Switch,,,,2,3,,,,,,,,10/40/100GB,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,525",,http://www.cisco.com/c/en/us/products/switches/nexus-7700-2-slot-switch/index.html
N7K-C7018,OK,2016,Nexus,7000,18-Slot,Datacentre,Switch,Switch,,,,18,25,,,,,,,,10/40/100GB,768,,,,,,,,,,,11500,,,,,,550000,,,,,,,,,,,,,,,,,"$134,479",,http://www.cisco.com/c/en/us/products/switches/nexus-7000-18-slot-switch/index.html
N7K-C7010,OK,2016,Nexus,7000,10-Slot,Datacentre,Switch,Switch,,,,10,,,,,,,,,10/40/100GB,384,,,,,,,,,,,5760,,,,,,550000,,,,,,,,,,,,,,,,,"$101,909",,http://www.cisco.com/c/en/us/products/switches/nexus-7000-10-slot-switch/index.html
N7K-C7009,OK,2016,Nexus,7000,9-Slot,Datacentre,Switch,Switch,,,,9,14,,,,,,,,10/40/100GB,336,,,,,,,,,,,5040,,,,,,550000,,,,,,,,,,,,,,,,,"$94,541",,http://www.cisco.com/c/en/us/products/switches/nexus-7000-9-slot-switch/index.html
N7K-C7004,OK,2016,Nexus,7000,4-Slot,Datacentre,Switch,Switch,,,,4,7,,,,,,,,10/40/100GB,96,,,,,,,,,,,1440,,,,,,440000,,,,,,,,,,,,,,,,,"$46,930",,http://www.cisco.com/c/en/us/products/switches/nexus-7000-4-slot-switch/index.html
CGR-2010/K9,OK,2016,Cisco,2000,2010,Industrial,CGR,CGR,15.1(1)T,IP Base,,4,,,,,,,,2,10/100/1000,4,2,2,,,2,,,,,,,1000,,256,8000,,,,,,,,,,2,YES,,YES,,,YES,,,"$5,689",,http://www.cisco.com/c/en/us/products/collateral/routers/2000-series-connected-grid-routers/data_sheet_c78_593509.html
CGS-2520-24TC,OK,2016,Cisco,2500,2520,Industrial,CGS,CGS,,LAN Base,,,1,,,,,,,2,10/100/1000,24,,2,,,2,,,,,,6.55,256,,128,1000,,,,,,,,,,,YES,,YES,,,YES,,,"$5,972",,http://www.cisco.com/c/en/us/products/collateral/switches/2500-series-connected-grid-switches/data_sheet_c78_593672.html
CGS-2520-16S-8PC,OK,2016,Cisco,2500,2520,Industrial,CGS,CGS,,LAN Base,,,1,,,,,,,2,10/100/1000,16,,16,,,,,,,,,,256,,128,1000,,,,,,,,,,,YES,,YES,,,YES,,,"$5,758",,http://www.cisco.com/c/en/us/products/collateral/switches/2500-series-connected-grid-switches/data_sheet_c78_593672.html
CGR1240/K9,OK,2016,Cisco,1000,1240,Industrial,CGR,CGR,,,,,,,,,,4,10/100,2,10/100/1000,2,,,,,2,,,,,,,,,,2000,,,,,,,,,,,,,,4G,,YES,,YES,"$5,933",,http://www.cisco.com/c/en/us/products/collateral/routers/1000-series-connected-grid-routers/datasheet_c78-696278.html?cachemode=refresh
CGR1120/K9,OK,2016,Cisco,1000,1120,Industrial,CGR,CGR,,,,,2,,,,,6,10/100,2,10/100/1000,2,,,,,1,,,,,,,,,,2000,,,,,,,,,,,,,,4G,,,,YES,"$3,898",,http://www.cisco.com/c/en/us/products/collateral/routers/1000-series-connected-grid-routers/datasheet_c78-696278.html?cachemode=refresh
IR910-K9,OK,2016,Cisco,900,910,Industrial,Router,Router,,,,,,,,,,1,,1,,,2,,,,1,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/900-series-industrial-routers/index.html
IR910W-K9,OK,2016,Cisco,900,910W,Industrial,Router,Wireless Router,,,,,,,,,,1,,1,,,2,,,,1,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,YES,"$1,857",Wireless Router,http://www.cisco.com/c/en/us/products/routers/900-series-industrial-routers/index.html
IR910G-K9,OK,2016,Cisco,900,910G,Industrial,Router,Router,,,,,,,,,,1,,1,,,2,,,,1,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,"$2,286",,http://www.cisco.com/c/en/us/products/routers/900-series-industrial-routers/index.html
IR910G-NA-K9,OK,2016,Cisco,900,910G-NA,Industrial,Router,Router,,,,,,,,,,1,,1,,,2,,,,1,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/900-series-industrial-routers/index.html
CISCO3925/K9   ,OK,2016,Cisco,3900,3925,Branch,ISR,ISR,15.0(1)M,,,,3,,,,,3,10/100/1000,4,10/100/1000,4,4,2,4,,,,,,4,,,1000,2000,256,4000,100,100,730,250,,800,,,,,YES,YES,,,,YES,,WLC,"$9,500",,http://www.cisco.com/c/en/us/products/routers/3925-integrated-services-router-isr/index.html
ISR4431/K9,OK,2016,Cisco,4000,4431,Branch,ISR,ISR,,,,,1,250,,,,,10/100/1000,3,,4,2,2,1,,2,,,,,,,8000,32000,4000,16000,250,250,1200,350,,3000,,,,720,YES,YES,YES,,,YES,,,"$11,876",CE,http://www.cisco.com/c/en/us/products/collateral/routers/4000-series-integrated-services-routers-isr/datasheet-c78-732542.html
IR509UWP-915/K9,OK,2016,Cisco,500,500,Industrial,WPAN,Wireless Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,YES,$955,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/500-series-wpan-industrial-routers/datasheet-c78-730550.pdf
CISCO5940RA-K9,OK,2016,Cisco,5900,5940,Mobile Internet,Embedded Services,Embedded Services,,Advanced Enterprise Services,,,3,,,,,,,,10/100/1000,4,,,,,,,,,,972,,1000,100,256,256,,,,150,,,,,,,YES,YES,YES,,,,,YES,"$19,995",,http://www.cisco.com/c/en/us/products/collateral/routers/5900-series-embedded-services-routers/datasheet_c78_630483.html
CISCO5921RA-K9,OK,2016,Cisco,5900,5921,Mobile Internet,Embedded Services,Embedded Services,Glibc-compiled Linux,,,,,,,,,,,,,,,,,,,,,,,,,512,,300,,,,,25,,,,,,,,YES,YES,,,,,YES,?,,http://www.cisco.com/c/en/us/products/collateral/routers/5921-embedded-services-router/data_sheet_c78-729702.html
CISCO5915RA-K9,OK,2016,Cisco,5900,5915,Mobile Internet,Embedded Services,Embedded Services,,,,,,,,,,3,,2,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,"$4,175",,http://www.cisco.com/c/en/us/products/routers/5915-embedded-service-router/index.html
MWR-2941-DC-A,EOL,2014,Cisco,2900,2941,Mobile Internet,MWR,Router,,,,,1,,,,,4,,2,10/100/1000,6,4,2,,,,,,,,,,512,512,128,128,,,,,,,,,,16,,,YES,3G,,,,,?,,http://www.cisco.com/c/en/us/products/collateral/routers/mwr-2900-series-mobile-wireless-routers/data_sheet_c78-419853.html
MWR-1941-DC,EOL,2011,Cisco,1940,1941,Mobile Internet,MWR,Router,,,,,,,,,,1,10/100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,4G,,,,,RF,Wireless Router,http://www.cisco.com/c/en/us/products/routers/mwr-1941-dc-a-mobile-wireless-edge-router/index.html
ASR1002-X,OK,2016,Cisco,1000,1002-X,Datacentre,ASR,ASR,XE 3.7.0S,IP Base,,,2,,,,,,,6,,3,,6,,,,,,,,,,,4000,,4000,1000,1000,,,,,,,8000,,YES,,YES,,,YES,,,"$40,026",CE,http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/datasheet-c78-731632.html
12816/1280-AC3,OK,2016,Cisco,12000,12816,Service Provider,Edge,Edge,Cisco XR,,,16,1,,,,,,,,,16,,,,,,,,,,,,,,,,1280000,,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/12816-router/index.html
NCS-5011,OK,2016,Cisco,5500,5011,WAN Aggregation,Network Convergence,,XR 6.0,,,,1,,,,,,,,10/100/1000/10GB/40GB,320,,,,,,,,,,,,,,,,,960000,,,,,,,,,,,,,,YES,,,"$68,521",,http://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-5000-series/datasheet-c78-736546.html?cachemode=refresh
ASR-9904,OK,2016,Cisco,9000,9904,Service Provider,Edge,ASR,XR 5.1.0,,,,6,,,,,,,,10/100/1000/10GB/100GB,2,,,,,,,,,,,,,,,,770000,2000000,,,,,,,,,,,,,,YES,,,"$70,275",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/data_sheet_c78-501767.html
ASR1004,OK,2016,Cisco,1000,1004,Datacentre,ASR,ASR,XE 2.1,,,,,,,,,2,,,,8,,,,,,,,,,,,4000,8000,,1000,10000,40000,,,,,,,8000,,YES,,YES,,,YES,,,"$72,559",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/datasheet-c78-731632.html
XR-12406/120-AC,OK,2016,Cisco,12000,12406,Service Provider,Edge,Edge,Cisco XR,,,6,4,,,,,,,,,6,,,,,,,,,,,,,,,,120000,,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/12406-router/index.html
XR-12404/80-AC,OK,2016,Cisco,12000,12404,Service Provider,Edge,Edge,Cisco XR,,,4,8,,,,,,,,,4,,,,,,,,,,,,,,,,80000,,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/12404-router/index.html
ASR1006,OK,2016,Cisco,1000,1006,Datacentre,ASR,ASR,,,,,,,,,,3,,,,12,,,,,,,,,,,,4000,8000,,1000,10000,100000,,,,,,,8000,,,,YES,,,YES,,,"$84,170",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/datasheet-c78-731632.html
12010-AC,OK,2016,Cisco,12000,12010,Service Provider,Edge,Edge,Cisco XR,,,10,2,,,,,,,,,10,,,,,,,,,,,,,,,,50000,,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/12010-router/index.html
12006-AC,OK,2016,Cisco,12000,12006,Service Provider,Edge,Edge,Cisco XR,,,6,4,,,,,,,,,6,,,,,,,,,,,,,,,,30000,,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/12006-router/index.html
CISCO7603=,EOL,2006,Cisco,7600,7603,Service Provider,Edge,,,,,,4,,,,,2,10/100/1000,2,10/100/1000,4,,,,,,,,,,,15,,,,,240000,,,,,,,,,,,YES,,,,,,YES,?,,http://www.cisco.com/c/en/us/products/collateral/routers/7603-router/product_data_sheet09186a0080088771.html
CISCO7603-S=,EOL,2006,Cisco,7600,7603-S,Service Provider,Edge,,12.2(33)SRB1,,,,4,,,,,2,10/100/1000/10GB,2,10/100/1000/10GB,3,,,,,,,,,,,96,,,,,240000,,,,,,,,,,,YES,,,,,,YES,"$2,500",,http://www.cisco.com/c/en/us/products/collateral/routers/7603-router/product_data_sheet0900aecd805f7ba3.html
CISCO7604=,EOL,2015,Cisco,7600,7604,Service Provider,Edge,,12.2.18SXE,,,,5,,,,,,10/100/1000/10GB,,10/100/1000/10GB,4,,,,,,,,,,,144,,,,,320000,,,,,,,,,,YES,YES,,,,,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/7604-router/product_data_sheet0900aecd8027cc3e.html
CISCO7606=,EOL,2009,Cisco,7600,7606,Service Provider,Edge,,12.1(10)E,,,,7,,,,,,10/100/1000/10GB,,10/100/1000/10GB,4,,,,,,,,,,,30,,,,,480000,,,,,,,,,,,YES,,,,,,YES,?,,http://www.cisco.com/c/en/us/products/collateral/routers/7606-router/product_data_sheet09186a0080088773.html
CISCO7606-S=,EOL,2009,Cisco,7600,7606-S,Service Provider,Edge,,12.2(33)SRB1,,,,7,,,,,,10/100/1000,,10/100/1000,4,,,,,,,,,,,30,,,,,480000,,,,,,,,,,,YES,,,,,,YES,"$9,445",,http://www.cisco.com/c/en/us/products/collateral/routers/7606-router/product_data_sheet0900aecd8057f3c8.html
CISCO7609=,EOL,2009,Cisco,7600,7609,Service Provider,Edge,,12.1(13)E1,,,,21,,,,,,10/100/1000/10GB,,10/100/1000/10GB,4,,,,,,,,,,,400,,,,,720000,,,,,,,,,,YES,YES,,,,,,YES,?,,http://www.cisco.com/c/en/us/products/collateral/routers/7609-router/product_data_sheet09186a0080169ead.html
CISCO7609-S=,EOL,2009,Cisco,7600,7609-S,Service Provider,Edge,,12.2(18)SXE,,,,21,,,,,,10/100/1000/10GB,,10/100/1000/10GB,4,,,,,,,,,,,400,,,,,720000,,,,,,,,,,YES,YES,,,,,,YES,"$10,500",,http://www.cisco.com/c/en/us/products/collateral/routers/7609-router/product_data_sheet0900aecd8057f3d2.html
CISCO7613=,EOL,2014,Cisco,7600,7613,Service Provider,Edge,,12.1(13)E,,,,18,,,,,,10/100/1000/10GB,,10/100/1000/10GB,4,,,,,,,,,,,400,,,,,720000,,,,,,,,,,YES,YES,,,,,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/7613-router/product_data_sheet09186a008015cfeb.html
CISCO7507,EOL,2015,Cisco,7500,7507,Service Provider,Edge,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,2134,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/product_data_sheet0900aecd800f5542.html
CISCO7513,EOL,2015,Cisco,7500,7513,Service Provider,Edge,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,2134,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/7513-router/index.html
CISCO7576,EOL,2015,Cisco,7500,7576,Service Provider,Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/7576-router/index.html
CISCO7507MX,EOL,2015,Cisco,7500,7507-MX,Service Provider,Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/7507-mx-router/index.html
CISCO7505,EOL,2015,Cisco,7500,7505,Service Provider,Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/7505-router/index.html
CISCO7304,EOL,2016,Cisco,7300,7304,Service Provider,Edge,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cisco.com/c/en/us/products/routers/7304-router/index.html
CISCO7301,EOL,2016,Cisco,7300,7301,Service Provider,Edge,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cisco.com/c/en/us/products/routers/7301-router/index.html
CISCO7204VXR,EOL,2012,Cisco,7200,7204VXR,Service Provider,Edge,,,,,,3,,,,,,,,,4,,,,,,,,,,,2,,,,,1800,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/7204vxr-router/index.html
CISCO7206VXR,EOL,2012,Cisco,7200,7206VXR,Service Provider,Edge,,,,,,3,,,,,,,,,6,,,,,,,,,,,2,,,,,1800,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/7206vxr-router/index.html
CISCO7201,EOL,2012,Cisco,7200,7201,Service Provider,Edge,,,,,,1,,,,,,,4,10/100/1000,,,,,,,,,,,,2,,,,,1800,,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/7201-router/index.html
ASR-9922,OK,2016,Cisco,9000,9922,Service Provider,Edge,ASR,XR 3.7.2,,,,44,,,,,,,,,20,,,,,,,,,,,,,,,,96000000,,,,,,,,,,,,YES,,,YES,,,"$376,086",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/data_sheet_c78-501767.html
NCS-5002,OK,2016,Cisco,5500,5002,WAN Aggregation,Network Convergence,,XR 6.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,960000,,,,,,,,,,,,,,YES,,,"$89,335",,
ASR1006-X,OK,2016,Cisco,1000,1006-X,Datacentre,ASR,ASR,XE 3.16.0,,,,,,,,,2,,,,8,,,,,,,,,,,,,8000,,1000,40000,100000,,,,,,,8000,,YES,,YES,,,YES,,,"$94,831",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/datasheet-c78-731632.html
ASR-9010,EOL,2016,Cisco,9000,9010,Service Provider,Edge,ASR,XR 3.7.2,,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,YES,,,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/data_sheet_c78-501767.html
ASR-9006-SYS,OK,2016,Cisco,9000,9006,Service Provider,Edge,ASR,XR 3.7.2,,,4,10,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,"$68,638",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/data_sheet_c78-501767.html
ASR-9001,OK,2016,Cisco,9000,9001,Service Provider,Edge,ASR,XR 3.7.2,,,,2,,,,,,,4,10/100/1000/10GB,2,,4,,,,,,,,,,,,,,120000,,,,,,,,,,,,,,YES,,,,"$80,341",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/data_sheet_c78-501767.html
ASR-920-12CZ-A,OK,2016,Cisco,920,12CZ-A,Service Provider,Edge,ASR,IOS XE 3.18SP,,,,,,,,,20,10/100/1000,2,10/100/1000/10GB,22,,,,,,,,,,,,4000,,2000,,64000,,,,,,,,,,,YES,YES,,,YES,,,"$5,054",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-732103.html
ASR-920-12CZ-D,OK,2016,Cisco,920,12CZ-D,Service Provider,Edge,ASR,IOS XE 3.18SP,,,,,,,,,20,10/100/1000,2,10/100/1000/10GB,22,,,,,,,,,,,,4000,,2000,,64000,,,,,,,,,,,YES,YES,,,YES,,,"$5,054",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-732103.html
ASR-920-4SZ-A,OK,2016,Cisco,920,4SZ-A,Service Provider,Edge,ASR,IOS XE 3.18SP,,,,,,,,,6,10/100/1000,4,10/100/1000/10GB,10,,,,,,,,,,,,4000,,2000,,64000,,,,,,,,,,,YES,YES,,,YES,,,"$5,054",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-732103.html
ASR-920-4SZ-D,OK,2016,Cisco,920,4SZ-D,Service Provider,Edge,ASR,IOS XE 3.18SP,,,,,,,,,6,10/100/1000,4,10/100/1000/10GB,10,,,,,,,,,,,,4000,,2000,,64000,,,,,,,,,,,YES,YES,,,YES,,,"$5,054",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-732103.html
ASR-920-24TZ-M,OK,2016,Cisco,920,24TZ-M,Service Provider,Edge,ASR,IOS XE 3.18SP,,,,,,,,,24,10/100/1000,4,10/100/1000/10GB,28,,,,,,,,,,,,4000,,2000,,64000,,,,,,,,,,,YES,YES,,,YES,,,"$7,321",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-732103.html
ASR-920-24SZ-M,OK,2016,Cisco,920,24SZ-M,Service Provider,Edge,ASR,IOS XE 3.18SP,,,,,,,,,24,10/100/1000,4,10/100/1000/10GB,28,,,,,,,,,,,,4000,,2000,,64000,,,,,,,,,,,YES,YES,,,YES,,,"$8,389",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-732103.html
ASR-920-24SZ-IM,OK,2016,Cisco,920,24SZ-IM,Service Provider,Edge,ASR,IOS XE 3.18SP,,,,,,,,,12,10/100/1000,4,10/100/1000/10GB,16,,,,,,,,,,,,4000,,2000,,64000,,,,,,,,,,,YES,YES,,,YES,,,"$9,656",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-732103.html
ASR-920-12SZ-IM,OK,2016,Cisco,920,12SZ-IM,Service Provider,Edge,ASR,IOS XE 3.18SP,,,,,,,,,12,10/100/1000,4,10/100/1000/10GB,16,,,,,,,,,,,,4000,,2000,,64000,,,,,,,,,,,YES,YES,,,YES,,,"$10,056",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-732103.html
A901-12C-FT-D,OK,2016,Cisco,901,12C-FT-D,Service Provider,Edge,ASR,,,,,1,,,,,,,4,10/100/1000,12,4,4,,,,,,,,,,,,,,,,,,,,,,,16,,,YES,4G,,YES,,,"$7,471",,http://www.cisco.com/c/en/us/products/routers/asr-901-series-aggregation-services-routers/models-comparison.html
A901-12C-F-D,OK,2016,Cisco,901,12C-F-D,Service Provider,Edge,ASR,,,,,1,,,,,,,4,10/100/1000,12,4,4,,,,,,,,,,,,,,,,,,,,,,,16,,,YES,4G,,YES,,,"$6,404",,http://www.cisco.com/c/en/us/products/routers/asr-901-series-aggregation-services-routers/models-comparison.html
A901-6CZ-FT-D,OK,2016,Cisco,901,6CZ-FT-D,Service Provider,Edge,ASR,,,,,1,,,,,,,4,10/100/1000,12,4,4,,,,,,,,,,,,,,,,,,,,,,,16,,,YES,4G,,YES,,,"$6,404",,http://www.cisco.com/c/en/us/products/routers/asr-901-series-aggregation-services-routers/models-comparison.html
A901-6CZ-F-D,OK,2016,Cisco,901,6CZ-F-D,Service Provider,Edge,ASR,,,,,1,,,,,,,4,10/100/1000,12,4,4,,,,,,,,,,,,,,,,,,,,,,,16,,,YES,4G,,YES,,,"$5,336",,http://www.cisco.com/c/en/us/products/routers/asr-901-series-aggregation-services-routers/models-comparison.html
A901-6CZ-FT-A,OK,2016,Cisco,901,6CZ-FT-A,Service Provider,Edge,ASR,,,,,1,,,,,,,4,10/100/1000,12,4,4,,,,,,,,,,,,,,,,,,,,,,,16,,,YES,4G,,YES,,,"$6,404",,http://www.cisco.com/c/en/us/products/routers/asr-901-series-aggregation-services-routers/models-comparison.html
A901-6CZ-F-A,OK,2016,Cisco,901,6CZ-F-A,Service Provider,Edge,ASR,,,,,1,,,,,,,4,10/100/1000,12,4,4,,,,,,,,,,,,,,,,,,,,,,,16,,,YES,4G,,YES,?,,"$5,336",,http://www.cisco.com/c/en/us/products/routers/asr-901-series-aggregation-services-routers/models-comparison.html
A901S-4SG-F-D,OK,2016,Cisco,901S,4SG-F-D,Service Provider,Edge,ASR,,,,,,YES,,,,2,10/100/1000,3,10/100/1000,4,2,4,,,,,,,,,,512,,128,,,,,,,,,,,,YES,,YES,4G,,,YES,YES,"$6,353",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-901s-series-aggregation-services-routers/data_sheet_c78-726628.html
A901S-3SG-F-D,OK,2016,Cisco,901S,3SG-F-D,Service Provider,Edge,ASR,,,,,,YES,,,,2,10/100/1000,3,10/100/1000,4,2,3,,,,,,,,,,512,,128,,,,,,,,,,,,YES,,YES,4G,,,YES,YES,"$6,353",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-901s-series-aggregation-services-routers/data_sheet_c78-726628.html
A901S-2SG-F-D,OK,2016,Cisco,901S,2SG-F-D,Service Provider,Edge,ASR,,,,,,YES,,,,2,10/100/1000,3,10/100/1000,4,2,2,,,,,,,,,,512,,128,,,,,,,,,,,,YES,,YES,4G,,,YES,YES,"$6,353",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-901s-series-aggregation-services-routers/data_sheet_c78-726628.html
A901S-3SG-F-AH,OK,2016,Cisco,901S,3SG-F-AH,Service Provider,Edge,ASR,,,,,,YES,,,,2,10/100/1000,3,10/100/1000,3,2,3,,,,,,,,,,512,,128,,,,,,,,,,,,YES,,YES,4G,,,YES,YES,"$7,923",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-901s-series-aggregation-services-routers/data_sheet_c78-726628.html
A901S-2SG-F-AH,OK,2016,Cisco,901S,2SG-F-AH,Service Provider,Edge,ASR,,,,,,YES,,,,2,10/100/1000,3,10/100/1000,3,2,2,,,,,,,,,,512,,128,,,,,,,,,,,,YES,,YES,4G,,,YES,YES,"$7,923",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-901s-series-aggregation-services-routers/data_sheet_c78-726628.html
